Origem;Código;Product;ID;
BV;BV163538;Barbara Vieira;501108;
BV;BV401390;Barbara Vieira;501108;
BV;BV645732;Barbara Vieira;501108;
BV;BV594738;Barbara Vieira;501108;
BV;BV789987;Barbara Vieira;501108;
BV;BV175195;Barbara Vieira;501108;
BV;BV217717;Barbara Vieira;501108;
BV;BV699340;Barbara Vieira;501108;
BV;BV229311;Barbara Vieira;501108;
BV;BV186624;Barbara Vieira;501108;
BV;BV411999;Barbara Vieira;501108;
BV;BV406774;Barbara Vieira;501108;
BV;BV903632;Barbara Vieira;501108;
BV;BV994889;Barbara Vieira;501108;
BV;BV720502;Barbara Vieira;501108;
BV;BV117002;Barbara Vieira;501108;
BV;BV185830;Barbara Vieira;501108;
BV;BV663449;Barbara Vieira;501108;
BV;BV418261;Barbara Vieira;501108;
BV;BV632959;Barbara Vieira;501108;
BV;BV899645;Barbara Vieira;501108;
BV;BV759229;Barbara Vieira;501108;
BV;BV845754;Barbara Vieira;501108;
BV;BV422154;Barbara Vieira;501108;
BV;BV948480;Barbara Vieira;501108;
BV;BV428106;Barbara Vieira;501108;
BV;BV953877;Barbara Vieira;501108;
BV;BV864307;Barbara Vieira;501108;
BV;BV536281;Barbara Vieira;501108;
BV;BV459589;Barbara Vieira;501108;
BV;BV138233;Barbara Vieira;501108;
BV;BV272598;Barbara Vieira;501108;
BV;BV771321;Barbara Vieira;501108;
BV;BV884947;Barbara Vieira;501108;
BV;BV930985;Barbara Vieira;501108;
BV;BV684025;Barbara Vieira;501108;
BV;BV224269;Barbara Vieira;501108;
BV;BV762540;Barbara Vieira;501108;
BV;BV463092;Barbara Vieira;501108;
BV;BV150370;Barbara Vieira;501108;
BV;BV245642;Barbara Vieira;501108;
BV;BV191673;Barbara Vieira;501108;
BV;BV757545;Barbara Vieira;501108;
BV;BV925489;Barbara Vieira;501108;
BV;BV134520;Barbara Vieira;501108;
BV;BV962038;Barbara Vieira;501108;
BV;BV865074;Barbara Vieira;501108;
BV;BV136855;Barbara Vieira;501108;
BV;BV390371;Barbara Vieira;501108;
BV;BV889652;Barbara Vieira;501108;
BV;BV707799;Barbara Vieira;501108;
BV;BV749760;Barbara Vieira;501108;
BV;BV372894;Barbara Vieira;501108;
BV;BV312170;Barbara Vieira;501108;
BV;BV653458;Barbara Vieira;501108;
BV;BV681076;Barbara Vieira;501108;
BV;BV840968;Barbara Vieira;501108;
BV;BV116546;Barbara Vieira;501108;
BV;BV503043;Barbara Vieira;501108;
BV;BV896146;Barbara Vieira;501108;
BV;BV341136;Barbara Vieira;501108;
BV;BV450246;Barbara Vieira;501108;
BV;BV338126;Barbara Vieira;501108;
BV;BV627169;Barbara Vieira;501108;
BV;BV868457;Barbara Vieira;501108;
BV;BV823554;Barbara Vieira;501108;
BV;BV640590;Barbara Vieira;501108;
BV;BV284343;Barbara Vieira;501108;
BV;BV128162;Barbara Vieira;501108;
BV;BV644997;Barbara Vieira;501108;
BV;BV167157;Barbara Vieira;501108;
BV;BV492062;Barbara Vieira;501108;
BV;BV785230;Barbara Vieira;501108;
BV;BV744503;Barbara Vieira;501108;
BV;BV833838;Barbara Vieira;501108;
BV;BV371650;Barbara Vieira;501108;
BV;BV700795;Barbara Vieira;501108;
BV;BV329633;Barbara Vieira;501108;
BV;BV741322;Barbara Vieira;501108;
BV;BV309359;Barbara Vieira;501108;
BV;BV619271;Barbara Vieira;501108;
BV;BV689072;Barbara Vieira;501108;
BV;BV151301;Barbara Vieira;501108;
BV;BV393795;Barbara Vieira;501108;
BV;BV788123;Barbara Vieira;501108;
BV;BV204544;Barbara Vieira;501108;
BV;BV505890;Barbara Vieira;501108;
BV;BV480476;Barbara Vieira;501108;
BV;BV363420;Barbara Vieira;501108;
BV;BV157407;Barbara Vieira;501108;
BV;BV967525;Barbara Vieira;501108;
BV;BV142863;Barbara Vieira;501108;
BV;BV278600;Barbara Vieira;501108;
BV;BV619401;Barbara Vieira;501108;
BV;BV445121;Barbara Vieira;501108;
BV;BV799007;Barbara Vieira;501108;
BV;BV931352;Barbara Vieira;501108;
BV;BV698397;Barbara Vieira;501108;
BV;BV163761;Barbara Vieira;501108;
BV;BV160866;Barbara Vieira;501108;
BV;BV374045;Barbara Vieira;501108;
BV;BV669420;Barbara Vieira;501108;
BV;BV429838;Barbara Vieira;501108;
BV;BV239365;Barbara Vieira;501108;
BV;BV676876;Barbara Vieira;501108;
BV;BV758871;Barbara Vieira;501108;
BV;BV741288;Barbara Vieira;501108;
BV;BV252456;Barbara Vieira;501108;
BV;BV869664;Barbara Vieira;501108;
BV;BV765556;Barbara Vieira;501108;
BV;BV693479;Barbara Vieira;501108;
BV;BV325698;Barbara Vieira;501108;
BV;BV558222;Barbara Vieira;501108;
BV;BV195987;Barbara Vieira;501108;
BV;BV735283;Barbara Vieira;501108;
BV;BV145299;Barbara Vieira;501108;
BV;BV554252;Barbara Vieira;501108;
BV;BV863407;Barbara Vieira;501108;
BV;BV537008;Barbara Vieira;501108;
BV;BV722102;Barbara Vieira;501108;
BV;BV653937;Barbara Vieira;501108;
BV;BV450073;Barbara Vieira;501108;
BV;BV242124;Barbara Vieira;501108;
BV;BV951631;Barbara Vieira;501108;
BV;BV649699;Barbara Vieira;501108;
BV;BV260560;Barbara Vieira;501108;
BV;BV988078;Barbara Vieira;501108;
BV;BV210144;Barbara Vieira;501108;
BV;BV662043;Barbara Vieira;501108;
BV;BV100192;Barbara Vieira;501108;
BV;BV998017;Barbara Vieira;501108;
BV;BV909500;Barbara Vieira;501108;
BV;BV633963;Barbara Vieira;501108;
BV;BV597188;Barbara Vieira;501108;
BV;BV364848;Barbara Vieira;501108;
BV;BV244713;Barbara Vieira;501108;
BV;BV139099;Barbara Vieira;501108;
BV;BV149696;Barbara Vieira;501108;
BV;BV171839;Barbara Vieira;501108;
BV;BV707226;Barbara Vieira;501108;
BV;BV316621;Barbara Vieira;501108;
BV;BV419627;Barbara Vieira;501108;
BV;BV719824;Barbara Vieira;501108;
BV;BV404207;Barbara Vieira;501108;
BV;BV760788;Barbara Vieira;501108;
BV;BV314025;Barbara Vieira;501108;
BV;BV960085;Barbara Vieira;501108;
BV;BV619584;Barbara Vieira;501108;
BV;BV661165;Barbara Vieira;501108;
BV;BV491715;Barbara Vieira;501108;
BV;BV164131;Barbara Vieira;501108;
BV;BV476088;Barbara Vieira;501108;
BV;BV510700;Barbara Vieira;501108;
BV;BV208028;Barbara Vieira;501108;
BV;BV696810;Barbara Vieira;501108;
BV;BV709217;Barbara Vieira;501108;
BV;BV573169;Barbara Vieira;501108;
BV;BV563664;Barbara Vieira;501108;
BV;BV297607;Barbara Vieira;501108;
BV;BV743802;Barbara Vieira;501108;
BV;BV528925;Barbara Vieira;501108;
BV;BV655071;Barbara Vieira;501108;
BV;BV216465;Barbara Vieira;501108;
BV;BV271823;Barbara Vieira;501108;
BV;BV598478;Barbara Vieira;501108;
BV;BV933214;Barbara Vieira;501108;
BV;BV595095;Barbara Vieira;501108;
BV;BV366087;Barbara Vieira;501108;
BV;BV577111;Barbara Vieira;501108;
BV;BV565185;Barbara Vieira;501108;
BV;BV132503;Barbara Vieira;501108;
BV;BV128599;Barbara Vieira;501108;
BV;BV400543;Barbara Vieira;501108;
BV;BV758849;Barbara Vieira;501108;
BV;BV424337;Barbara Vieira;501108;
BV;BV264697;Barbara Vieira;501108;
BV;BV701623;Barbara Vieira;501108;
BV;BV354540;Barbara Vieira;501108;
BV;BV319655;Barbara Vieira;501108;
BV;BV794478;Barbara Vieira;501108;
BV;BV511061;Barbara Vieira;501108;
BV;BV609835;Barbara Vieira;501108;
BV;BV795858;Barbara Vieira;501108;
BV;BV961530;Barbara Vieira;501108;
BV;BV801445;Barbara Vieira;501108;
BV;BV603486;Barbara Vieira;501108;
BV;BV212767;Barbara Vieira;501108;
BV;BV575673;Barbara Vieira;501108;
BV;BV173053;Barbara Vieira;501108;
BV;BV762846;Barbara Vieira;501108;
BV;BV870227;Barbara Vieira;501108;
BV;BV431205;Barbara Vieira;501108;
BV;BV832467;Barbara Vieira;501108;
BV;BV175456;Barbara Vieira;501108;
BV;BV460089;Barbara Vieira;501108;
BV;BV575027;Barbara Vieira;501108;
BV;BV420514;Barbara Vieira;501108;
BV;BV479942;Barbara Vieira;501108;
BV;BV673092;Barbara Vieira;501108;
BV;BV860084;Barbara Vieira;501108;
BV;BV104787;Barbara Vieira;501108;
BV;BV943964;Barbara Vieira;501108;
BV;BV393891;Barbara Vieira;501108;
BV;BV408714;Barbara Vieira;501108;
BV;BV163788;Barbara Vieira;501108;
BV;BV127670;Barbara Vieira;501108;
BV;BV993364;Barbara Vieira;501108;
BV;BV127763;Barbara Vieira;501108;
BV;BV654693;Barbara Vieira;501108;
BV;BV399992;Barbara Vieira;501108;
BV;BV406331;Barbara Vieira;501108;
BV;BV162774;Barbara Vieira;501108;
BV;BV274803;Barbara Vieira;501108;
BV;BV122043;Barbara Vieira;501108;
